from_stop_id,to_stop_id,transfer_type,min_transfer_time
AL110,AL130,2,300
AL130,AL110,2,300
AL150,AL160,2,300
AL150,AL170,2,300
AL160,AL150,2,300
AL170,AL150,2,300
AL170,AL210,2,300
AL200,AL210,2,300
AL200,AL220,2,300
AL200,RI010,2,300
AL200,RI020,2,300
AL210,AL170,2,300
AL210,AL200,2,300
AL210,RI010,2,300
AL220,AL200,2,300
AL220,RI010,2,300
AL220,RI020,2,300
AL260,AL311,2,300
AL260,AL320,2,300
AL260,AL404,2,300
AL270,AL300,2,300
AL280,AL285,2,300
AL285,AL280,2,300
AL300,AL270,2,300
AL311,AL260,2,300
AL311,AL320,2,300
AL311,AL404,2,300
AL311,AL405,2,300
AL311,AL407,2,300
AL320,AL260,2,300
AL320,AL311,2,300
AL320,AL404,2,300
AL320,AL405,2,300
AL330,AL340,2,300
AL330,AL437,2,300
AL340,AL330,2,300
AL350,AL360,2,300
AL350,AL435,2,300
AL360,AL350,2,300
AL370,AL380,2,300
AL370,AL445,2,300
AL380,AL370,2,300
AL380,AL445,2,300
AL404,AL260,2,300
AL404,AL311,2,300
AL404,AL320,2,300
AL404,AL405,2,300
AL404,AL407,2,300
AL405,AL311,2,300
AL405,AL320,2,300
AL405,AL404,2,300
AL405,AL407,2,300
AL407,AL311,2,300
AL407,AL404,2,300
AL407,AL405,2,300
AL415,AL417,2,300
AL417,AL415,2,300
AL435,AL350,2,300
AL435,AL443,2,300
AL437,AL330,2,300
AL443,AL435,2,300
AL445,AL370,2,300
AL445,AL380,2,300
AL594,AL595,2,300
AL594,EC340,2,300
AL595,AL594,2,300
AL595,EC340,2,300
AL597,AL598,2,300
AL598,AL597,2,300
AL600,AL605,2,300
AL605,AL600,2,300
AL610,AL615,2,300
AL615,AL610,2,300
AL620,AL625,2,300
AL625,AL620,2,300
AL633,AL635,2,300
AL635,AL633,2,300
AL640,AL645,2,300
AL640,AL660,2,300
AL645,AL640,2,300
AL645,AL660,2,300
AL660,AL640,2,300
AL660,AL645,2,300
AL660,AL665,2,300
AL665,AL660,2,300
CA090,CA100,2,300
CA090,CB003,2,300
CA090,CB995,2,300
CA100,CA090,2,300
CA100,CB003,2,300
CA100,CB930,2,300
CA100,CB940,2,300
CA100,CB950,2,300
CA100,CB995,2,300
CA100,CH010,2,300
CA120,CA155,2,300
CA155,CA120,2,300
CA300,CA970,2,300
CA300,CA980,2,300
CA300,CA995,2,300
CA930,CA940,2,300
CA930,CI130,2,300
CA930,CI140,2,300
CA930,CI145,2,300
CA940,CA930,2,300
CA940,CI120,2,300
CA940,CI130,2,300
CA940,CI140,2,300
CA940,CI145,2,300
CA970,CA300,2,300
CA970,CA980,2,300
CA970,CA990,2,300
CA970,CA995,2,300
CA980,CA300,2,300
CA980,CA970,2,300
CA980,CA990,2,300
CA980,CA995,2,300
CA990,CA970,2,300
CA990,CA980,2,300
CA995,CA300,2,300
CA995,CA970,2,300
CA995,CA980,2,300
CB003,CA090,2,300
CB003,CA100,2,300
CB003,CB930,2,300
CB003,CB940,2,300
CB003,CB950,2,300
CB003,CB995,2,300
CB050,CB260,2,300
CB050,CB990,2,300
CB150,CB160,2,300
CB150,CB170,2,300
CB150,DT016,2,300
CB160,CB150,2,300
CB160,CB970,2,300
CB170,CB150,2,300
CB170,DT016,2,300
CB200,CB260,2,300
CB260,CB050,2,300
CB260,CB200,2,300
CB930,CA100,2,300
CB930,CB003,2,300
CB930,CB940,2,300
CB930,CB950,2,300
CB930,CB990,2,300
CB930,CB995,2,300
CB930,CH010,2,300
CB940,CA100,2,300
CB940,CB003,2,300
CB940,CB930,2,300
CB940,CB950,2,300
CB940,CB990,2,300
CB940,CB995,2,300
CB940,CH010,2,300
CB950,CA100,2,300
CB950,CB003,2,300
CB950,CB930,2,300
CB950,CB940,2,300
